"HOUSEHOLD DATA ANNUAL AVERAGES 1.  Employment status of the civilian noninstitutional population, 1954 to date","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","TableName","2. Employment status of the civilian noninstitutional population 16 years and over by sex, 1984 to date","3.  Employment status of the civilian noninstitutional population by age, sex, and race","4. Employment status of the Hispanic or Latino population by age and sex","5. Employment status of the civilian noninstitutional population by sex, age, and race","6. Employment status of the Hispanic or Latino population by sex, age, and detailed ethnic group","7. Employment status of the civilian noninstitutional population 25 years and over by educational attainment, sex, race, and Hispanic or Latino ethnicity","8. Employed and unemployed full- and part-time workers by age, sex, race, and Hispanic or Latino ethnicity","9.  Employed persons by occupation, sex, and age","10. Employed persons by occupation, race, Hispanic or Latino ethnicity, and sex","11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity","11b. Employed persons by detailed occupation and age","12. Employed persons by sex, occupation, class of worker, full- or part-time status, and race","13. Employed Hispanic or Latino workers by sex, occupation, class of worker, full- or part-time status, and detailed ethnic group","14. Employed persons in nonagricultural industries by age, sex, race, and Hispanic or Latino ethnicity","...12","...13","15. Employed persons in agriculture and nonagricultural industries by age, sex, and class of worker","16. Employed persons in nonagricultural industries by sex and class of worker","17. Employed persons by industry, sex, race, and occupation","18. Employed persons by detailed industry, sex, race, and Hispanic or Latino ethnicity","18b. Employed persons by detailed industry and age","19. Persons at work in agriculture and nonagricultural industries by hours of work","20. Persons at work 1 to 34 hours in all and in nonagricultural industries by reason for working less than 35 hours and usual full- or part-time status","21. Persons at work in nonagricultural industries by class of worker and usual full- or part-time status","22. Persons at work in nonagricultural industries by age, sex, race, Hispanic or Latino ethnicity, marital status, and usual full- or part-time status","23.  Persons at work by occupation, sex, and usual full- or part-time status","24.  Unemployed persons by marital status, race, Hispanic or Latino ethnicity, age, and sex","25.  Unemployed persons by occupation and sex","26. Unemployed persons by industry, class of worker, and sex","27. Unemployed persons by reason for unemployment, sex, and age","28. Unemployed persons by reason for unemployment, race, and Hispanic or Latino ethnicity","29. Unemployed persons by reason for unemployment, sex, age, and duration of unemployment","30.  Unemployed total and full-time workers by duration of unemployment","31.  Unemployed persons by age, sex, race, Hispanic or Latino ethnicity, marital status, and duration of unemployment","32.  Unemployed persons by occupation, industry, and duration of unemployment","33.  Unemployed jobseekers by sex, age, race, Hispanic or Latino ethnicity, and active jobsearch methods used","34.  Unemployed jobseekers by sex, reason for unemployment, and active jobsearch methods used","35.  Persons not in the labor force by desire and availability for work, age, and sex","36.  Multiple jobholders by selected characteristics","37. Median weekly earnings of full-time wage and salary workers by selected characteristics","38. Median weekly earnings of part-time wage and salary workers by selected characteristics","39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex","HOUSEHOLD DATA ANNUAL AVERAGES40. Union affiliation of employed wage and salary workers by selected characteristics","HOUSEHOLD DATA ANNUAL AVERAGES41. Median weekly earnings of full-time wage and salary workers by union affiliation and selected characteristics","HOUSEHOLD DATA ANNUAL AVERAGES42.  Union affiliation of employed wage and salary workers by occupation and industry","HOUSEHOLD DATA ANNUAL AVERAGES43. Median weekly earnings of full-time wage and salary workers by union affiliation, occupation, and industry","HOUSEHOLD DATA ANNUAL AVERAGES 44. Wage and salary workers paid hourly rates with earnings at or below the prevailing Federal minimum wage by selected characteristics","45. Wage and salary workers paid hourly rates with earnings at or below the prevailing Federal minimum wage by occupation and industry","46. Absences from work of employed full-time wage and salary workers by age, sex, race, and Hispanic or Latino ethnicity","47. Absences from work of employed full-time wage and salary workers by occupation and industry","48. Employment status of persons 18 years and over by veteran status, age, and sex","49. Certification and licensing status of the civilian noninstitutional population 16 years and over by employment status, 2024 annual averages","50. Employment status of the civilian noninstitutional population by certification and licensing status and selected characteristics, 2024 annual averages","51. Certification and licensing status of employed persons 16 years and over by selected characteristics, 2024 annual averages","52. Certification and licensing status of the employed by industry and class of worker, 2024 annual averages","53. Certification and licensing status of the employed by occupation, 2024 annual averages","54. Median weekly earnings of full-time wage and salary workers by certification and licensing status and selected characteristics, 2024 annual averages","55. Median weekly earnings of full-time wage and salary workers by certification and licensing status and occupation, 2024 annual averages","converted_HOUSEHOLD DATA ANNUAL AVERAGES 1.  Employment status of the civilian noninstitutional population, 1954 to date","converted_...2","converted_...3","converted_...4","converted_...5","converted_...6","converted_...7","converted_...8","converted_...9","converted_...10","converted_...11","converted_TableName","converted_2. Employment status of the civilian noninstitutional population 16 years and over by sex, 1984 to date","converted_ 3.  Employment status of the civilian noninstitutional population by age, sex, and race","converted_ 4. Employment status of the Hispanic or Latino population by age and sex","converted_ 5. Employment status of the civilian noninstitutional population by sex, age, and race","converted_ 6. Employment status of the Hispanic or Latino population by sex, age, and detailed ethnic group","converted_7. Employment status of the civilian noninstitutional population 25 years and over by educational attainment, sex, race, and Hispanic or Latino ethnicity","converted_ 8. Employed and unemployed full- and part-time workers by age, sex, race, and Hispanic or Latino ethnicity","converted_9.  Employed persons by occupation, sex, and age","converted_10. Employed persons by occupation, race, Hispanic or Latino ethnicity, and sex","converted_11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity","converted_11b. Employed persons by detailed occupation and age","converted_ 12. Employed persons by sex, occupation, class of worker, full- or part-time status, and race","converted_13. Employed Hispanic or Latino workers by sex, occupation, class of worker, full- or part-time status, and detailed ethnic group","converted_14. Employed persons in nonagricultural industries by age, sex, race, and Hispanic or Latino ethnicity","converted_...12","converted_...13","converted_15. Employed persons in agriculture and nonagricultural industries by age, sex, and class of worker","converted_16. Employed persons in nonagricultural industries by sex and class of worker","converted_17. Employed persons by industry, sex, race, and occupation","converted_18. Employed persons by detailed industry, sex, race, and Hispanic or Latino ethnicity","converted_18b. Employed persons by detailed industry and age","converted_19. Persons at work in agriculture and nonagricultural industries by hours of work","converted_ 20. Persons at work 1 to 34 hours in all and in nonagricultural industries by reason for working less than 35 hours and usual full- or part-time status","converted_ 21. Persons at work in nonagricultural industries by class of worker and usual full- or part-time status","converted_ 22. Persons at work in nonagricultural industries by age, sex, race, Hispanic or Latino ethnicity, marital status, and usual full- or part-time status","converted_ 23.  Persons at work by occupation, sex, and usual full- or part-time status","converted_ 24.  Unemployed persons by marital status, race, Hispanic or Latino ethnicity, age, and sex","converted_ 25.  Unemployed persons by occupation and sex","converted_ 26. Unemployed persons by industry, class of worker, and sex","converted_ 27. Unemployed persons by reason for unemployment, sex, and age","converted_ 28. Unemployed persons by reason for unemployment, race, and Hispanic or Latino ethnicity","converted_ 29. Unemployed persons by reason for unemployment, sex, age, and duration of unemployment","converted_ 30.  Unemployed total and full-time workers by duration of unemployment","converted_ 31.  Unemployed persons by age, sex, race, Hispanic or Latino ethnicity, marital status, and duration of unemployment","converted_ 32.  Unemployed persons by occupation, industry, and duration of unemployment","converted_ 33.  Unemployed jobseekers by sex, age, race, Hispanic or Latino ethnicity, and active jobsearch methods used","converted_ 34.  Unemployed jobseekers by sex, reason for unemployment, and active jobsearch methods used","converted_ 35.  Persons not in the labor force by desire and availability for work, age, and sex","converted_ 36.  Multiple jobholders by selected characteristics","converted_37. Median weekly earnings of full-time wage and salary workers by selected characteristics","converted_38. Median weekly earnings of part-time wage and salary workers by selected characteristics","converted_39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex","converted_HOUSEHOLD DATA ANNUAL AVERAGES40. Union affiliation of employed wage and salary workers by selected characteristics","converted_HOUSEHOLD DATA ANNUAL AVERAGES41. Median weekly earnings of full-time wage and salary workers by union affiliation and selected characteristics","converted_HOUSEHOLD DATA ANNUAL AVERAGES42.  Union affiliation of employed wage and salary workers by occupation and industry","converted_HOUSEHOLD DATA ANNUAL AVERAGES43. Median weekly earnings of full-time wage and salary workers by union affiliation, occupation, and industry","converted_HOUSEHOLD DATA ANNUAL AVERAGES 44. Wage and salary workers paid hourly rates with earnings at or below the prevailing Federal minimum wage by selected characteristics","converted_45. Wage and salary workers paid hourly rates with earnings at or below the prevailing Federal minimum wage by occupation and industry","converted_ 46. Absences from work of employed full-time wage and salary workers by age, sex, race, and Hispanic or Latino ethnicity","converted_ 47. Absences from work of employed full-time wage and salary workers by occupation and industry","converted_ 48. Employment status of persons 18 years and over by veteran status, age, and sex","converted_49. Certification and licensing status of the civilian noninstitutional population 16 years and over by employment status, 2024 annual averages","converted_50. Employment status of the civilian noninstitutional population by certification and licensing status and selected characteristics, 2024 annual averages","converted_51. Certification and licensing status of employed persons 16 years and over by selected characteristics, 2024 annual averages","converted_52. Certification and licensing status of the employed by industry and class of worker, 2024 annual averages","converted_53. Certification and licensing status of the employed by occupation, 2024 annual averages","converted_54. Median weekly earnings of full-time wage and salary workers by certification and licensing status and selected characteristics, 2024 annual averages","converted_55. Median weekly earnings of full-time wage and salary workers by certification and licensing status and occupation, 2024 annual averages","converted_3.  Employment status of the civilian noninstitutional population by age, sex, and race","converted_4. Employment status of the Hispanic or Latino population by age and sex","converted_5. Employment status of the civilian noninstitutional population by sex, age, and race","converted_6. Employment status of the Hispanic or Latino population by sex, age, and detailed ethnic group","converted_8. Employed and unemployed full- and part-time workers by age, sex, race, and Hispanic or Latino ethnicity","converted_12. Employed persons by sex, occupation, class of worker, full- or part-time status, and race","converted_20. Persons at work 1 to 34 hours in all and in nonagricultural industries by reason for working less than 35 hours and usual full- or part-time status","converted_21. Persons at work in nonagricultural industries by class of worker and usual full- or part-time status","converted_22. Persons at work in nonagricultural industries by age, sex, race, Hispanic or Latino ethnicity, marital status, and usual full- or part-time status","converted_23.  Persons at work by occupation, sex, and usual full- or part-time status","converted_24.  Unemployed persons by marital status, race, Hispanic or Latino ethnicity, age, and sex","converted_25.  Unemployed persons by occupation and sex","converted_26. Unemployed persons by industry, class of worker, and sex","converted_27. Unemployed persons by reason for unemployment, sex, and age","converted_28. Unemployed persons by reason for unemployment, race, and Hispanic or Latino ethnicity","converted_29. Unemployed persons by reason for unemployment, sex, age, and duration of unemployment","converted_30.  Unemployed total and full-time workers by duration of unemployment","converted_31.  Unemployed persons by age, sex, race, Hispanic or Latino ethnicity, marital status, and duration of unemployment","converted_32.  Unemployed persons by occupation, industry, and duration of unemployment","converted_33.  Unemployed jobseekers by sex, age, race, Hispanic or Latino ethnicity, and active jobsearch methods used","converted_34.  Unemployed jobseekers by sex, reason for unemployment, and active jobsearch methods used","converted_35.  Persons not in the labor force by desire and availability for work, age, and sex","converted_36.  Multiple jobholders by selected characteristics","converted_46. Absences from work of employed full-time wage and salary workers by age, sex, race, and Hispanic or Latino ethnicity","converted_47. Absences from work of employed full-time wage and salary workers by occupation and industry","converted_48. Employment status of persons 18 years and over by veteran status, age, and sex"
"[Numbers in thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Year","Civilian noninstitutional population","Civilian labor force",NA,NA,NA,NA,NA,NA,NA,"Not
in
labor
force","cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,"Total","Percent
of
population","Employed",NA,NA,NA,"Unemployed",NA,NA,"cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,"Total","Percent
of
population","Agri-
culture","Nonagri-
cultural
industries","Number","Percent
of
labor
force",NA,"cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persons 16 years of age and over",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1954","108321","63643","58.8","60109","55.5","6205","53904","3532","5.5","44678","cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,108321,63643,58.8,60109,55.5,6205,53904,3532,5.5,44678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1955","109683","65023","59.3","62170","56.7","6450","55722","2852","4.4000000000000004","44660","cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,109683,65023,59.3,62170,56.7,6450,55722,2852,4.4,44660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1956","110954","66552","60","63799","57.5","6283","57514","2750","4.0999999999999996","44402","cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956,110954,66552,60,63799,57.5,6283,57514,2750,4.1,44402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1957","112265","66929","59.6","64071","57.1","5947","58123","2859","4.3","45336","cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1957,112265,66929,59.6,64071,57.1,5947,58123,2859,4.3,45336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1958","113727","67639","59.5","63036","55.4","5586","57450","4602","6.8","46088","cpsaat01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1958,113727,67639,59.5,63036,55.4,5586,57450,4602,6.8,46088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
