SOURCE,FREQUENCY,SERIESID,GEOLEVEL,GEOID,GEONAME,MARKET,PERIOD,YEAR,QUARTER,MONTH,SUPPRESSED,VALUE1
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2002Q1,2002,1,03,0,2.3
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2002Q2,2002,2,06,0,2.4
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2002Q3,2002,3,09,0,2.6
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2002Q4,2002,4,12,0,2.7
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2003Q1,2003,1,03,0,2.4
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2003Q2,2003,2,06,0,2.4
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2003Q3,2003,3,09,0,2.5
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2003Q4,2003,4,12,0,2.7
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2004Q1,2004,1,03,0,2.2
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2004Q2,2004,2,06,0,2.3
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2004Q3,2004,3,09,0,2.5
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2004Q4,2004,4,12,0,2.6
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2005Q1,2005,1,03,0,2.1
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2005Q2,2005,2,06,0,2.2
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2005Q3,2005,3,09,0,2.3
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2005Q4,2005,4,12,0,2.6
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2006Q1,2006,1,03,0,2.1
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2006Q2,2006,2,06,0,2.4
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2006Q3,2006,3,09,0,2.6
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2006Q4,2006,4,12,0,2.8
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2007Q1,2007,1,03,0,2.5
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2007Q2,2007,2,06,0,2.8
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2007Q3,2007,3,09,0,3.0
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2007Q4,2007,4,12,0,3.5
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2008Q1,2008,1,03,0,3.1
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2008Q2,2008,2,06,0,3.2
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2008Q3,2008,3,09,0,3.6
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2008Q4,2008,4,12,0,4.2
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2009Q1,2009,1,03,0,3.7
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2009Q2,2009,2,06,0,3.7
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2009Q3,2009,3,09,0,3.9
NMDB,Quarterly,PD3060,National,USA,United States,All Mortgages,2009Q4,2009,4,12,0,3.9
